scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.35556278,0.2411595,0.7380816,0.38719553,0.30870196,0.3181912,0.3303886,0.34065336,0.45175955,0.3314617,0.23379849,0.30305123,0.3057815,0.3232889,0.29667515,0.23412508,0.28133705,0.32371855
0.8661046,0.7695465,0.35333732,0.873225,0.8357096,0.36990535,0.8176524,0.8430246,0.380637,0.8678675,0.7737817,0.3713372,0.8352411,0.37515402,0.3873927,0.7737859,0.7955024,0.8662834
0.32826367,0.25119302,0.37620997,0.3351613,0.3467673,0.5558651,0.2939831,0.33388725,0.67949307,0.34332335,0.2880706,0.67845076,0.31220567,0.5520661,0.5697119,0.2849825,0.31886557,0.3619057
0.33354393,0.2832228,0.43247598,0.35733327,0.36340043,0.5843311,0.31305748,0.3683379,0.7044813,0.35476148,0.3220178,0.67452514,0.31210563,0.6587604,0.62061286,0.2843214,0.31970876,0.37197477
0.28347555,0.25496265,0.67066634,0.30996987,0.27340513,0.32149762,0.32324666,0.30506384,0.47427365,0.30388308,0.2547448,0.3026018,0.27660966,0.3331827,0.30258954,0.23087129,0.27600855,0.27736136
0.2932793,0.23040573,0.7054396,0.33791265,0.2819306,0.30235308,0.28368667,0.31343192,0.455803,0.33654037,0.2542343,0.27171412,0.2540388,0.38720697,0.32158586,0.22794053,0.29007208,0.30658206
0.36112884,0.2595982,0.77336586,0.4188949,0.30166402,0.36108387,0.3686908,0.33492386,0.5583954,0.36784834,0.23880926,0.35550174,0.35736063,0.40081382,0.36840227,0.26496026,0.26546088,0.32099026
0.19254422,0.16895303,0.37269878,0.20511413,0.21899137,0.26911816,0.1664441,0.21406478,0.32232866,0.20793687,0.17020755,0.20138776,0.184437,0.23915936,0.23661537,0.20539802,0.175061,0.2107453
0.26724622,0.2441194,0.38173592,0.29031992,0.2856078,0.3941182,0.30051786,0.29945987,0.54325014,0.32216135,0.2687606,0.4555332,0.27513972,0.42521274,0.45157963,0.27586067,0.3216712,0.32574314
0.22548103,0.20095104,0.51223946,0.23263802,0.24441199,0.29198545,0.22087823,0.2504519,0.37812757,0.23517203,0.20829691,0.2332426,0.20917472,0.2887073,0.2538327,0.19682589,0.18484324,0.22533406
0.3015912,0.22675344,0.6523649,0.3219788,0.26115602,0.31774098,0.30621034,0.3129084,0.4433573,0.28889832,0.22532418,0.28469905,0.25550088,0.32664016,0.2935728,0.20157863,0.262323,0.2938586
0.35711014,0.24271026,0.79310536,0.37418032,0.29081008,0.38315716,0.3300228,0.30823502,0.532027,0.3632562,0.25553402,0.3981679,0.34767145,0.37926495,0.40834752,0.25854528,0.27454314,0.31326345
0.28113267,0.22473286,0.5515179,0.31123787,0.27546445,0.49644727,0.28827384,0.27588433,0.6100536,0.33408445,0.22480328,0.4845168,0.28746542,0.40157804,0.49541515,0.24611147,0.24844417,0.30454215
0.407059,0.31981555,0.5273351,0.41603675,0.37624002,0.61140645,0.4053674,0.3993558,0.72357446,0.39703503,0.33858046,0.67529285,0.35218197,0.6619142,0.6818762,0.316665,0.34419012,0.3781226
0.32416692,0.22920768,0.629858,0.30754918,0.24993064,0.29728934,0.31683975,0.27095628,0.3545652,0.31717598,0.21069218,0.23058388,0.27049154,0.21934375,0.25584674,0.21609592,0.22951627,0.27604574
0.26594436,0.23861551,0.6324686,0.2695623,0.26524168,0.32977384,0.24325745,0.2651589,0.47142845,0.2750723,0.22623867,0.3129899,0.25839487,0.26345897,0.2722751,0.23037446,0.26148525,0.2950126
0.30642614,0.21562015,0.698705,0.33966923,0.28306672,0.384035,0.23876813,0.29649067,0.48503336,0.32513806,0.20792516,0.3386271,0.2746089,0.2987507,0.27990124,0.21671966,0.23571897,0.33052626
0.3134223,0.26634973,0.4954134,0.3564626,0.29339638,0.35991466,0.2689898,0.3036018,0.37675664,0.32084608,0.2500854,0.29690742,0.27134547,0.28424665,0.28885204,0.23221937,0.21348101,0.30458912
0.3336747,0.26167813,0.618872,0.34529468,0.3308719,0.3540544,0.27645224,0.33500287,0.45237827,0.32123205,0.29505187,0.33288592,0.28488973,0.38891846,0.33625254,0.2505976,0.2937154,0.3578432
0.33361727,0.294604,0.46609893,0.37314522,0.33637422,0.59083587,0.3603992,0.36518604,0.6902547,0.35189587,0.2996183,0.6217144,0.31887576,0.6225556,0.6282992,0.26935568,0.3081322,0.3449923
0.26361334,0.24191621,0.663709,0.28966847,0.29452363,0.29351443,0.2686454,0.30187112,0.4349016,0.28997183,0.257873,0.26564136,0.26254576,0.30415866,0.310638,0.2308356,0.27345517,0.33337924
0.2589886,0.2718297,0.45398414,0.3059936,0.3379457,0.48369405,0.28335848,0.3271614,0.6382295,0.31243104,0.30217442,0.46910697,0.27710095,0.5114637,0.4585684,0.2852574,0.2705526,0.32466665
0.22844435,0.18701412,0.50833535,0.21621488,0.19178021,0.3259408,0.23657873,0.19444172,0.36925235,0.25116447,0.1562847,0.2288253,0.23722813,0.19252935,0.23422453,0.20833322,0.17498755,0.2079111
0.28804502,0.20771258,0.5260047,0.287542,0.23757726,0.23658727,0.2626551,0.25649765,0.29947275,0.2871518,0.20246504,0.19104765,0.23038872,0.20181236,0.2065473,0.21341808,0.2171129,0.2596717
0.22897431,0.20335065,0.52597684,0.24831943,0.2466466,0.25960407,0.20942119,0.25244984,0.35496992,0.2331987,0.2031188,0.18439308,0.20399772,0.24727319,0.21889862,0.16874263,0.22631697,0.2640065
0.31329024,0.23619898,0.59764755,0.32528254,0.2855344,0.29194438,0.29616374,0.31987885,0.39642677,0.29178202,0.22786264,0.26177296,0.26281944,0.28678071,0.2659302,0.22482634,0.25564376,0.29825374
0.25642678,0.2568733,0.23387466,0.25970885,0.28931776,0.4715179,0.27216408,0.29598418,0.5399796,0.29240793,0.27339348,0.5491639,0.26160708,0.49573344,0.5478226,0.2670408,0.29679292,0.28869402
0.35338232,0.2668666,0.7732357,0.39244425,0.31884092,0.3935737,0.33844113,0.35412997,0.5317031,0.3637642,0.24917927,0.3676575,0.30099052,0.3762809,0.35532093,0.22856078,0.2732468,0.33132428
